headshot,player_id,player,team,games,carries,rush_yards,rush_tds,yards_per_carry,epa,wpa,success_rate,first_downs,targets,receptions,rec_yards,rec_tds,yards_per_reception,yac,catch_rate,name_team,full_pos
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nwdb4paueb1x4gv7tlb9",00-0035685,D.Montgomery,DET,14,189,775,13,4.1005291005291005,-13.134568527284305,0.11378981306840075,0.4708994708994709,50,39,36,341,0,9.472222222222221,365,0.9230769230769231,D.Montgomery (DET),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ksdusqxnwqtnph0htcfx",00-0035700,J.Jacobs,GB,14,278,1147,12,4.125899280575539,-32.67901770910447,0.14580031528248927,0.3669064748201439,60,39,31,302,2,9.741935483870968,354,0.7948717948717948,J.Jacobs (GB),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stvclosmy6zi864kfxw7",00-0035806,J.Hasty,NE,9,20,69,0,3.45,-1.0126937043138207,-0.0643793735653162,0.5,4,12,10,59,1,5.9,72,0.8333333333333334,J.Hasty (NE),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yct3a4xznwcxjvn4iosk",00-0035924,J.Ward,PIT,2,5,22,0,4.4,0.2046333405887708,-0.010504186153411865,0.6,1,NA,NA,NA,NA,NA,NA,NA,J.Ward (PIT),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nd1utxii5exwfoujq5a4",00-0035973,P.Taylor,SF,3,16,50,1,3.125,0.25846106318943207,0.013672162337694305,0.5,3,2,1,12,0,12,9,0.5,P.Taylor (SF),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m8en6noemyviirgtxlgd",00-0036096,J.Taylor,HOU,3,10,44,0,4.4,-0.025005743256770074,0.010463066399097443,0.4,1,3,2,0,0,0,1,0.6666666666666666,J.Taylor (HOU),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe8ge4f6vvtyihou5czu",00-0036139,R.Dowdle,DAL,13,184,880,1,4.782608695652174,4.330443257880412,0.0819844248741306,0.4891304347826087,43,44,33,205,3,6.212121212121212,210,0.75,R.Dowdle (DAL),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rbuyzj3kv10xrq1rfy2l",00-0036158,J.Dobbins,LAC,11,161,766,8,4.75776397515528,1.3752927640008459,-0.1637393769995179,0.3416149068322981,39,37,29,124,0,4.275862068965517,165,0.7837837837837838,J.Dobbins (LAC),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ye4runp84oku1vnodsa7",00-0036223,J.Taylor,IND,11,215,911,5,4.2372093023255815,-34.44615677331137,-1.0349560239721542,0.3023255813953488,46,27,15,122,1,8.133333333333333,142,0.5555555555555556,J.Taylor (IND),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oxrltdgoquiabhihhgnk",00-0036251,Z.Moss,CIN,8,75,242,2,3.2266666666666666,-20.681646420441538,-0.3902925486771496,0.25333333333333335,13,28,23,187,1,8.130434782608695,194,0.8214285714285714,Z.Moss (CIN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xlqznrxbapcjhxxazkbx",00-0036275,D.Swift,CHI,14,217,821,5,3.783410138248848,-37.58996206623851,-1.0508459521635574,0.3225806451612903,36,44,35,327,0,9.342857142857143,325,0.7954545454545454,D.Swift (CHI),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/akmrd72vwsbpsnuh9775",00-0036297,D.Evans,CHI,1,3,3,0,1,-1.2948128271382302,-4.8102045548148453e-4,0,0,NA,NA,NA,NA,NA,NA,NA,D.Evans (CHI),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsjhpzgfdilf9cyrpeup",00-0036328,A.Gibson,NE,14,88,406,1,4.613636363636363,-3.379241163493134,0.1940348115745001,0.3409090909090909,19,21,17,178,0,10.470588235294118,186,0.8095238095238095,A.Gibson (NE),Running Back
